student_name,student_major,event_title,event_category,similarity_score,event_date
Maria Jones,Political Science,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.36580103635787964,2025-12-23
Maria Jones,Political Science,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.36580103635787964,2025-12-30
Maria Jones,Political Science,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.36580103635787964,2025-12-16
Jesse Bailey,Health Science,Hot Chocolate with the Chancellor,Special event,0.36170461773872375,2025-12-09
Jesse Bailey,Health Science,Hot Chocolate with the Chancellor,Special event,0.36170458793640137,2025-12-30
Jesse Bailey,Health Science,Hot Chocolate with the Chancellor,Special event,0.36170458793640137,2025-12-16
Cynthia Aguilar,Marketing,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.33636337518692017,2025-12-09
Cynthia Aguilar,Marketing,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.33636337518692017,2025-12-16
Cynthia Aguilar,Marketing,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.33636337518692017,2025-12-30
Karen Robinson,Sociology,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.3333953022956848,2025-12-30
Karen Robinson,Sociology,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.3333953022956848,2025-12-16
Karen Robinson,Sociology,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.3333953022956848,2025-12-09
Bryan Fernandez,Philosophy,Hot Chocolate with the Chancellor,Special event,0.33019760251045227,2025-12-16
Bryan Fernandez,Philosophy,Hot Chocolate with the Chancellor,Special event,0.33019760251045227,2025-12-30
Bryan Fernandez,Philosophy,Hot Chocolate with the Chancellor,Special event,0.33019760251045227,2025-12-09
Abigail Shelton,Earth Science,Hot Chocolate with the Chancellor,Special event,0.31731677055358887,2025-12-16
Abigail Shelton,Earth Science,Hot Chocolate with the Chancellor,Special event,0.31731677055358887,2025-12-09
Abigail Shelton,Earth Science,Hot Chocolate with the Chancellor,Special event,0.31731677055358887,2025-12-30
Lee Parks,Political Science,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.31221213936805725,2025-12-23
Lee Parks,Political Science,CRI Public Research Series: Medical Cannabis Competency Framework,Lecture,0.31221210956573486,2025-12-30
